year,od550aer,tas_c,pr_mm_day,tas_anomaly,pr_anomaly
1850,0.08110755,3.8304489,2.503468,0.05449462,-0.00044322014
1851,0.081949055,3.6976197,2.502239,-0.07833457,-0.0016722679
1852,0.08339802,3.8696468,2.5127318,0.09369254,0.008820534
1853,0.078796625,3.795415,2.506499,0.019460678,0.0025877953
1854,0.084619105,3.704427,2.519284,-0.07152724,0.015372753
1855,0.08108515,3.6708481,2.4961126,-0.105106115,-0.0077986717
1856,0.08168293,3.7497644,2.5136306,-0.026189804,0.009719372
1857,0.08260632,3.8870301,2.5210836,0.11107588,0.017172337
1858,0.07899537,3.8941205,2.4987497,0.11816621,-0.005161524
1859,0.08289776,3.9286401,2.5160844,0.15268588,0.012173176
1860,0.083456725,3.9518106,2.4966373,0.17585635,-0.0072739124
1861,0.08621744,3.922143,2.5065415,0.14618874,0.0026302338
1862,0.08185269,3.9216456,2.5043178,0.1456914,0.00040650368
1863,0.08058319,3.983906,2.5131087,0.20795178,0.0091974735
1864,0.08260385,3.8342636,2.5172777,0.058309317,0.013366461
1865,0.08096444,3.7003589,2.4904242,-0.07559538,-0.013487101
1866,0.08198779,3.7521093,2.507417,-0.023844957,0.0035057068
1867,0.08216304,3.7002685,2.5027714,-0.07568574,-0.0011398792
1868,0.08408685,3.6936731,2.4986026,-0.08228111,-0.005308628
1869,0.083517455,3.5798547,2.4944327,-0.19609952,-0.009478569
1870,0.085058935,3.4134567,2.4840145,-0.36249757,-0.019896746
1871,0.08008004,3.62881,2.4812381,-0.14714432,-0.02267313
1872,0.082697295,3.8304935,2.5201366,0.054539204,0.016225338
1873,0.08390684,3.8882978,2.5223281,0.11234355,0.018416882
1874,0.083608255,3.7371867,2.497856,-0.038767576,-0.006055355
1875,0.08532138,3.7096999,2.506542,-0.06625438,0.0026307106
1876,0.082276054,3.6830103,2.5003526,-0.09294391,-0.0035586357
1877,0.08226444,3.8565707,2.5054636,0.080616474,0.0015523434
1878,0.082509555,4.037392,2.5237567,0.2614379,0.019845486
1879,0.083195336,4.004516,2.5113802,0.22856188,0.007468939
1880,0.084157355,3.7975955,2.5128329,0.021641254,0.008921623
1881,0.08619615,3.8247583,2.496019,0.048804045,-0.00789237
1882,0.084707625,3.8527775,2.5001535,0.076823235,-0.0037577152
1883,0.08524226,3.912843,2.5207272,0.13688874,0.0168159
1884,0.08347153,3.6203601,2.4859076,-0.15559411,-0.018003702
1885,0.08065258,3.5161457,2.4839265,-0.25980854,-0.019984722
1886,0.08250693,3.7053025,2.4897413,-0.07065177,-0.014169931
1887,0.08208995,3.6755276,2.4947817,-0.100426674,-0.009129524
1888,0.08534173,3.8056533,2.508298,0.029699087,0.0043866634
1889,0.08395631,3.7968779,2.510595,0.020923615,0.0066838264
1890,0.08209831,3.799703,2.5014386,0.023748636,-0.002472639
1891,0.08328889,3.917116,2.5077534,0.14116168,0.0038421154
1892,0.08468403,3.9710016,2.5298815,0.19504738,0.02597022
1893,0.08477657,3.6209257,2.4888806,-0.15502858,-0.0150306225
1894,0.08542457,3.6954753,2.49428,-0.08047891,-0.009631157
1895,0.08276541,3.8020647,2.5006578,0.02611041,-0.00325346
1896,0.084411465,3.7912476,2.5028372,0.01529336,-0.0010740757
1897,0.08513695,3.6593232,2.497675,-0.11663103,-0.006236315
1898,0.08449077,3.647676,2.5026104,-0.12827826,-0.0013008118
1899,0.08747958,3.5689676,2.496473,-0.20698667,-0.007438183
1900,0.08575983,3.7348936,2.499524,-0.041060686,-0.0043871403
1901,0.08750537,3.5763173,2.4905925,-0.19963694,-0.013318777
1902,0.084354535,3.7363615,2.495662,-0.039592743,-0.008249283
1903,0.085171975,3.7021408,2.4897382,-0.07381344,-0.014173031
1904,0.087207355,3.6544974,2.4876602,-0.12145686,-0.016251087
1905,0.0881452,3.7670329,2.4966323,-0.008921385,-0.007278919
1906,0.086069405,3.6722593,2.4830039,-0.103694916,-0.020907402
1907,0.08977909,3.7804203,2.5024831,0.004466057,-0.0014281273
1908,0.088150404,3.7651503,2.5111022,-0.010803938,0.0071909428
1909,0.08881141,3.7577093,2.5003102,-0.018244982,-0.0036010742
1910,0.09052395,3.7019236,2.4931593,-0.07403064,-0.010751963
1911,0.087934785,3.764787,2.4893923,-0.011167288,-0.014518976
1912,0.08653156,3.553926,2.4896672,-0.22202826,-0.01424408
1913,0.08774172,3.6441844,2.4901655,-0.1317699,-0.013745785
1914,0.09179772,3.7840314,2.4962986,0.008077145,-0.007612705
1915,0.08816388,3.793684,2.4929495,0.01772976,-0.010961771
1916,0.090235695,3.8008053,2.5033524,0.024851084,-0.00055885315
1917,0.08904254,3.5462732,2.4880397,-0.22968102,-0.015871525
1918,0.08960846,3.6871815,2.4927614,-0.088772774,-0.011149883
1919,0.08672896,3.8624601,2.5053852,0.08650589,0.0014739037
1920,0.09098419,3.7135494,2.5065627,-0.06240487,0.002651453
1921,0.08712251,3.5511959,2.4898133,-0.22475839,-0.014097929
1922,0.085955046,3.5553071,2.4829438,-0.2206471,-0.020967484
1923,0.09121896,3.524351,2.4785776,-0.25160336,-0.025333643
1924,0.0868604,3.8371942,2.5070508,0.061239958,0.0031394958
1925,0.08651945,3.7897885,2.487831,0.013834238,-0.016080141
1926,0.09065506,3.785632,2.4893484,0.009677649,-0.014562845
1927,0.09172619,3.5762954,2.4801013,-0.19965887,-0.02380991
1928,0.090686046,3.6992798,2.480112,-0.07667446,-0.023799181
1929,0.0925526,3.5770063,2.4890697,-0.1989479,-0.014841557
1930,0.09099995,3.6458387,2.5153382,-0.13011551,0.011426926
1931,0.0889926,3.6209836,2.4871695,-0.15497065,-0.016741753
1932,0.08602012,3.555779,2.4835768,-0.22017527,-0.020334482
1933,0.08917293,3.6127198,2.4915695,-0.16323447,-0.012341738
1934,0.09120413,3.6707273,2.4843748,-0.10522699,-0.019536495
1935,0.09054678,3.5741076,2.4792469,-0.2018466,-0.024664402
1936,0.09481703,3.6909902,2.5084367,-0.08496404,0.004525423
1937,0.09382722,3.4861405,2.4770706,-0.28981376,-0.026840687
1938,0.088282645,3.3469744,2.4675221,-0.42897987,-0.036389112
1939,0.09266187,3.5820172,2.4819446,-0.19393706,-0.021966696
1940,0.093633756,3.4341807,2.4801283,-0.3417735,-0.023782969
1941,0.09382543,3.6957996,2.4807794,-0.08015466,-0.023131847
1942,0.0950868,3.7967517,2.4981396,0.020797491,-0.005771637
1943,0.09234747,3.5995045,2.4851706,-0.17644978,-0.018740654
1944,0.094954826,3.746897,2.49908,-0.029057264,-0.004831314
1945,0.08964339,3.6117926,2.4926531,-0.16416168,-0.011258125
1946,0.08996404,3.7490911,2.4891193,-0.026863098,-0.0147919655
1947,0.09194355,3.800482,2.4997768,0.024527788,-0.0041344166
1948,0.09452749,3.727716,2.4820795,-0.048238277,-0.02183175
1949,0.09548044,3.5421402,2.4847095,-0.233814,-0.019201756
1950,0.09641753,3.4947588,2.4743478,-0.2811954,-0.029563427
1951,0.09630894,3.594282,2.4800353,-0.18167233,-0.023875952
1952,0.09361556,3.6375241,2.46844,-0.13843012,-0.0354712
1953,0.09636956,3.6224384,2.4778636,-0.15351582,-0.026047707
1954,0.09314972,3.9685266,2.5065188,0.19257236,0.002607584
1955,0.09679863,3.6523366,2.4980261,-0.12361765,-0.005885124
1956,0.09740869,3.829882,2.4912643,0.05392766,-0.0126469135
1957,0.10029329,3.7053702,2.4823675,-0.07058406,-0.021543741
1958,0.10153865,3.839598,2.4958127,0.063643694,-0.008098602
1959,0.102029495,3.6925626,2.4906068,-0.08339167,-0.013304472
1960,0.09966989,3.7881632,2.4804068,0.012208939,-0.023504496
1961,0.10305095,3.6376925,2.468095,-0.1382618,-0.035816193
1962,0.1019988,3.674053,2.492254,-0.10190129,-0.011657238
1963,0.10591412,3.4831605,2.4861815,-0.29279375,-0.01772976
1964,0.1022442,3.225172,2.4500775,-0.5507822,-0.053833723
1965,0.10530261,3.403038,2.4735806,-0.37291622,-0.030330658
1966,0.105337605,3.4294858,2.4842448,-0.34646845,-0.019666433
1967,0.11170613,3.3037348,2.4607356,-0.47221947,-0.043175697
1968,0.106976494,3.1142883,2.4471228,-0.6616659,-0.056788445
1969,0.108420216,3.0208683,2.4504962,-0.75508595,-0.05341506
1970,0.11010441,3.2558746,2.4500225,-0.5200796,-0.053888798
1971,0.111323595,3.2311194,2.456545,-0.54483485,-0.047366142
1972,0.11483368,3.2356703,2.4579394,-0.5402839,-0.04597187
1973,0.11507931,3.3228836,2.4446583,-0.45307064,-0.059252977
1974,0.11290472,3.2541265,2.453043,-0.5218277,-0.050868273
1975,0.11664222,3.4915497,2.4446366,-0.28440452,-0.059274673
1976,0.11473741,3.39389,2.4609404,-0.38206434,-0.042970896
1977,0.11226421,3.3026257,2.4548395,-0.4733286,-0.04907179
1978,0.117598325,3.5047472,2.460467,-0.2712071,-0.043444157
1979,0.11792354,3.4071112,2.4667788,-0.36884308,-0.0371325
1980,0.11772951,3.335361,2.4592612,-0.44059324,-0.044650078
1981,0.11409486,3.4529874,2.4658642,-0.3229668,-0.038047075
1982,0.11541273,3.579066,2.4622405,-0.19688821,-0.0416708
1983,0.11143119,3.6266584,2.458807,-0.1492958,-0.045104265
1984,0.115697004,3.5173795,2.4684124,-0.25857472,-0.035498857
1985,0.119605124,3.4917064,2.4602604,-0.28424788,-0.043650866
1986,0.11733407,3.558675,2.46767,-0.2172792,-0.036241293
1987,0.118232675,3.7392294,2.4798005,-0.036724806,-0.024110794
1988,0.11928493,3.6884058,2.4726412,-0.087548494,-0.031270027
1989,0.11772429,3.8498394,2.49097,0.0738852,-0.0129413605
1990,0.11720977,4.0937004,2.4933965,0.31774616,-0.010514736
1991,0.12160128,3.9711487,2.4918013,0.19519448,-0.012109995
1992,0.11485862,3.5977519,2.4564722,-0.17820239,-0.0474391
1993,0.11428622,3.9075887,2.4787884,0.13163447,-0.025122881
1994,0.11743159,3.9567232,2.4943695,0.18076897,-0.00954175
1995,0.11619293,4.0373163,2.492627,0.26136208,-0.011284351
1996,0.11537064,4.197164,2.491305,0.4212098,-0.012606144
1997,0.117814206,4.2178135,2.5128863,0.44185925,0.008975029
1998,0.12523888,4.4929705,2.5118117,0.7170162,0.007900476
1999,0.1141244,4.4558177,2.5149884,0.67986345,0.011077166
2000,0.11410109,4.53961,2.526813,0.76365566,0.022901773
2001,0.11385545,4.556301,2.511103,0.7803469,0.007191658
2002,0.11606801,4.5762205,2.5365176,0.80026627,0.032606363
2003,0.12136258,4.5060873,2.510708,0.73013306,0.006796837
2004,0.11604628,4.4667597,2.4980764,0.69080544,-0.005834818
2005,0.11780593,4.5188427,2.5157914,0.74288845,0.011880159
2006,0.12182655,4.3323627,2.5169423,0.5564084,0.013031006
2007,0.12157096,4.5762186,2.530284,0.80026436,0.026372671
2008,0.115632676,4.748675,2.5226104,0.9727206,0.01869917
2009,0.11863413,4.778074,2.517738,1.0021195,0.013826847
2010,0.117143385,4.8001895,2.5239308,1.0242352,0.020019531
2011,0.113758974,4.852978,2.5294526,1.077024,0.025541306
2012,0.11889701,4.7963634,2.5359755,1.0204091,0.0320642
2013,0.11563831,4.946861,2.5389416,1.1709065,0.035030365
2014,0.118530795,4.9913483,2.541789,1.215394,0.037877798
